date,user_id,product,amount
2020-02-11 00:00:00,u95,pr29,120
2020-02-28 00:00:00,u33,pr80,479
2020-02-29 00:00:00,u87,pr68,59
2020-02-25 00:00:00,u19,pr60,100
2020-02-11 00:00:00,u39,pr53,271
2020-02-16 00:00:00,u12,pr69,329
2020-02-01 00:00:00,u4,pr47,944
2020-02-10 00:00:00,u55,pr61,393
2020-02-14 00:00:00,u72,pr12,660
2020-02-01 00:00:00,u67,pr86,289
2020-02-14 00:00:00,u72,pr76,636
2020-02-29 00:00:00,u85,pr19,868
2020-02-14 00:00:00,u9,pr22,986
2020-02-13 00:00:00,u47,pr76,995
2020-02-17 00:00:00,u20,pr82,248
2020-02-19 00:00:00,u58,pr77,669
2020-02-05 00:00:00,u38,pr78,673
2020-02-22 00:00:00,u5,pr98,732
2020-02-11 00:00:00,u67,pr76,834
2020-02-04 00:00:00,u5,pr16,92
2020-02-13 00:00:00,u80,pr67,172
2020-02-25 00:00:00,u59,pr13,765
2020-02-04 00:00:00,u100,pr92,453
2020-02-22 00:00:00,u53,pr94,778
2020-02-10 00:00:00,u43,pr22,216
2020-02-23 00:00:00,u44,pr61,92
2020-02-15 00:00:00,u41,pr79,79
2020-02-11 00:00:00,u52,pr80,653
2020-02-09 00:00:00,u59,pr14,583
2020-02-03 00:00:00,u10,pr49,4
2020-02-13 00:00:00,u64,pr48,889
2020-02-28 00:00:00,u80,pr41,822
2020-02-08 00:00:00,u13,pr87,625
2020-02-27 00:00:00,u71,pr12,226
2020-02-15 00:00:00,u95,pr24,987
2020-02-16 00:00:00,u76,pr77,538
2020-02-07 00:00:00,u85,pr81,203
2020-02-06 00:00:00,u52,pr6,83
2020-02-17 00:00:00,u54,pr67,40
2020-02-26 00:00:00,u31,pr19,100
2020-02-29 00:00:00,u75,pr54,793
2020-02-14 00:00:00,u81,pr90,867
2020-02-06 00:00:00,u69,pr31,984
2020-02-13 00:00:00,u31,pr39,86
2020-02-21 00:00:00,u100,pr10,820
2020-02-20 00:00:00,u13,pr59,875
2020-02-21 00:00:00,u21,pr18,234
2020-02-13 00:00:00,u13,pr20,863
2020-02-10 00:00:00,u42,pr93,821
2020-02-18 00:00:00,u97,pr84,908
2020-02-25 00:00:00,u96,pr37,508
2020-02-22 00:00:00,u48,pr25,146
2020-02-05 00:00:00,u74,pr41,732
2020-02-26 00:00:00,u78,pr37,591
2020-02-23 00:00:00,u84,pr46,752
2020-02-25 00:00:00,u94,pr65,165
2020-02-26 00:00:00,u27,pr68,342
2020-02-03 00:00:00,u12,pr27,123
2020-02-16 00:00:00,u34,pr9,617
2020-02-23 00:00:00,u53,pr93,617
2020-02-13 00:00:00,u57,pr23,823
2020-02-21 00:00:00,u41,pr35,310
2020-02-08 00:00:00,u56,pr1,618
2020-02-17 00:00:00,u96,pr15,957
2020-02-01 00:00:00,u44,pr34,441
2020-02-25 00:00:00,u83,pr10,178
2020-02-07 00:00:00,u17,pr84,94
2020-02-17 00:00:00,u51,pr66,598
2020-02-10 00:00:00,u88,pr8,858
2020-02-15 00:00:00,u37,pr19,847
2020-02-11 00:00:00,u31,pr36,685
2020-02-03 00:00:00,u1,pr65,671
2020-02-13 00:00:00,u84,pr98,363
2020-02-23 00:00:00,u44,pr83,15
2020-02-04 00:00:00,u27,pr26,304
2020-02-04 00:00:00,u4,pr38,612
2020-02-10 00:00:00,u96,pr9,500
2020-02-17 00:00:00,u63,pr17,417
2020-02-25 00:00:00,u10,pr75,416
2020-02-15 00:00:00,u64,pr11,320
2020-02-27 00:00:00,u92,pr34,669
2020-02-28 00:00:00,u66,pr18,276
2020-02-22 00:00:00,u70,pr28,39
2020-02-26 00:00:00,u9,pr28,6
